"panelist","product","session","overall_liking"
"P01","Plain",1,5.51405127844105
"P02","Plain",1,4.09036164826906
"P03","Plain",1,7.06332181296981
"P04","Plain",1,3.63707228983363
"P05","Plain",1,4.13708963012657
"P06","Plain",1,6.29893831039198
"P07","Plain",1,4.53313469047888
"P08","Plain",1,5.17581658979106
"P09","Plain",1,4.36983738826145
"P10","Plain",1,4.00644133471031
"P11","Plain",1,6.11968569538388
"P12","Plain",1,5.32081109988056
"P13","Plain",1,4.42500320708199
"P14","Plain",1,5.00041530492327
"P15","Plain",1,5.09205203512798
"P16","Plain",1,6.22414107986195
"P17","Plain",1,6.19062569651501
"P18","Plain",1,4.86205076227478
"P19","Plain",1,5.05658675023343
"P20","Plain",1,4.64485616498153
"P21","Plain",1,3.84861618483551
"P22","Plain",1,4.10597640144089
"P23","Plain",1,4.36501277144529
"P24","Plain",1,5.03045417532455
"P01","Berry-low",1,5.35901847354181
"P02","Berry-low",1,6.26741420444962
"P03","Berry-low",1,8.37112612258183
"P04","Berry-low",1,6.22215657086583
"P05","Berry-low",1,6.28039439392902
"P06","Berry-low",1,6.01477291829816
"P07","Berry-low",1,7.4199564602062
"P08","Berry-low",1,6.25315418024492
"P09","Berry-low",1,6.79587831377189
"P10","Berry-low",1,5.12691808529419
"P11","Berry-low",1,6.01953124390596
"P12","Berry-low",1,5.52648780274734
"P13","Berry-low",1,5.89654168118593
"P14","Berry-low",1,6.11136396022127
"P15","Berry-low",1,6.84836822460339
"P16","Berry-low",1,6.47212225976959
"P17","Berry-low",1,7.09035633799845
"P18","Berry-low",1,6.05076156055413
"P19","Berry-low",1,8.08856245317153
"P20","Berry-low",1,5.93083681452171
"P21","Berry-low",1,6.35973976094303
"P22","Berry-low",1,6.46000317836322
"P23","Berry-low",1,6.0748865905072
"P24","Berry-low",1,6.59127587117878
"P01","Berry-high",1,6.6699992314481
"P02","Berry-high",1,6.78275594171168
"P03","Berry-high",1,5.87203016988106
"P04","Berry-high",1,6.35691394926794
"P05","Berry-high",1,6.73966932630351
"P06","Berry-high",1,5.21329877777677
"P07","Berry-high",1,6.09573990951298
"P08","Berry-high",1,5.27900148525149
"P09","Berry-high",1,3.92256796083999
"P10","Berry-high",1,5.58984038000638
"P11","Berry-high",1,6.48111613092455
"P12","Berry-high",1,6.98268373687597
"P13","Berry-high",1,6.32763647852947
"P14","Berry-high",1,5.47384799719394
"P15","Berry-high",1,5.88652896050415
"P16","Berry-high",1,6.53867749501098
"P17","Berry-high",1,5.98148085079696
"P18","Berry-high",1,6.34412370451305
"P19","Berry-high",1,5.84648160869734
"P20","Berry-high",1,5.54822870984085
"P21","Berry-high",1,5.58523483998782
"P22","Berry-high",1,4.67125143223401
"P23","Berry-high",1,5.23179270718466
"P24","Berry-high",1,5.11630238383525
"P01","Plain",2,5.84956401607364
"P02","Plain",2,4.98801357273101
"P03","Plain",2,3.79592217563004
"P04","Plain",2,5.83446603028821
"P05","Plain",2,5.84871318882036
"P06","Plain",2,4.18831653610917
"P07","Plain",2,5.38318478853715
"P08","Plain",2,4.78603428961468
"P09","Plain",2,3.85457903212153
"P10","Plain",2,6.06459847123962
"P11","Plain",2,5.09314850331108
"P12","Plain",2,5.7136787574584
"P13","Plain",2,6.65302587084799
"P14","Plain",2,4.9071082580275
"P15","Plain",2,5.13836475249364
"P16","Plain",2,5.26337922387926
"P17","Plain",2,5.65557761680558
"P18","Plain",2,5.32572916071751
"P19","Plain",2,4.45015102839495
"P20","Plain",2,5.01433542580935
"P21","Plain",2,5.2179599750305
"P22","Plain",2,6.16952638545572
"P23","Plain",2,5.77529320244094
"P24","Plain",2,4.95339137420161
"P01","Berry-low",2,6.92383165764949
"P02","Berry-low",2,6.13485233689535
"P03","Berry-low",2,7.10674919522517
"P04","Berry-low",2,6.58658451086031
"P05","Berry-low",2,6.77831145510349
"P06","Berry-low",2,6.95604187928764
"P07","Berry-low",2,4.9188230056462
"P08","Berry-low",2,8.46538291456851
"P09","Berry-low",2,6.01070226301942
"P10","Berry-low",2,5.75145217586356
"P11","Berry-low",2,7.15832963049528
"P12","Berry-low",2,7.06493863302632
"P13","Berry-low",2,7.39245119907222
"P14","Berry-low",2,6.40296842014051
"P15","Berry-low",2,6.49190943842221
"P16","Berry-low",2,6.60686846045667
"P17","Berry-low",2,8.43790087163712
"P18","Berry-low",2,7.69927425341986
"P19","Berry-low",2,7.14667180011175
"P20","Berry-low",2,6.8357200453633
"P21","Berry-low",2,7.30558246877506
"P22","Berry-low",2,7.86700114102814
"P23","Berry-low",2,6.70028816084924
"P24","Berry-low",2,7.20129460439353
"P01","Berry-high",2,6.91865139188152
"P02","Berry-high",2,6.36600500739331
"P03","Berry-high",2,6.36643410146652
"P04","Berry-high",2,5.0055153668621
"P05","Berry-high",2,5.87441077318061
"P06","Berry-high",2,6.7919974329595
"P07","Berry-high",2,5.30301638131889
"P08","Berry-high",2,7.09680253356974
"P09","Berry-high",2,5.59899608351396
"P10","Berry-high",2,5.66828095799939
"P11","Berry-high",2,6.24769620283243
"P12","Berry-high",2,5.54175886082649
"P13","Berry-high",2,5.83975632936391
"P14","Berry-high",2,4.84892692737051
"P15","Berry-high",2,5.96749597794186
"P16","Berry-high",2,5.97781517057941
"P17","Berry-high",2,5.96646662382916
"P18","Berry-high",2,5.48642277316976
"P19","Berry-high",2,7.45972565239679
"P20","Berry-high",2,6.15815742534964
"P21","Berry-high",2,5.94329619482858
"P22","Berry-high",2,6.22988515622225
"P23","Berry-high",2,7.42359966509808
"P24","Berry-high",2,4.47875009765273
